sampleid,row,col,plate
SID2566284,16,I,1
SID1589379,17,I,1
SID2741221,18,I,1
SID8039153,19,I,1
SID8705971,20,I,1
SID0497840,21,I,1
SID5378991,22,I,1
SID3077723,3,J,1
SID7310768,4,J,1
SID3327789,5,J,1
SID0490198,6,J,1
SID5492850,7,J,1
SID9132482,8,J,1
SID5107532,9,J,1
SID1679468,10,J,1
SID7324843,11,J,1
SID8879189,12,J,1
SID2939781,13,J,1
SID1733547,14,J,1
SID0386960,15,J,1
SID3927756,16,J,1
SID8456159,17,J,1
SID2862340,18,J,1
SID7508307,19,J,1
SID5976475,20,J,1
SID9158754,21,J,1
SID0220974,22,J,1
SID8326893,3,K,1
SID8579565,4,K,1
SID0941692,5,K,1
SID8608959,6,K,1
SID3548367,7,K,1
SID8282839,8,K,1
SID1311490,9,K,1
SID5837910,10,K,1
SID3173525,11,K,1
SID3066370,12,K,1
SID3665411,13,K,1
SID3384804,14,K,1
SID5552504,15,K,1
SID5906122,16,K,1
SID7958571,17,K,1
SID7538442,18,K,1
SID8743983,19,K,1
SID6488376,20,K,1
SID8775635,21,K,1
SID0683722,22,K,1
SID3521236,3,L,1
SID5554256,4,L,1
SID3491985,5,L,1
SID7476766,6,L,1
SID7877770,7,L,1
SID0098086,8,L,1
SID3829589,9,L,1
SID8510951,10,L,1
SID3575989,11,L,1
SID2678844,12,L,1
SID5995067,13,L,1
SID0107144,14,L,1
SID6601502,15,L,1
SID5807828,16,L,1
SID1064125,17,L,1
SID2150009,18,L,1
SID2612178,19,L,1
SID5658899,20,L,1
SID7296688,21,L,1
SID1989252,22,L,1
SID1727328,3,M,1
SID9656660,4,M,1
SID3029075,5,M,1
SID5485345,6,M,1
SID5138077,7,M,1
SID8123599,8,M,1
SID7007395,9,M,1
SID7290141,10,M,1
SID7240028,11,M,1
SID5966348,12,M,1
SID0455249,13,M,1
SID3935488,14,M,1
SID4473533,15,M,1
SID7159669,16,M,1
SID2295137,17,M,1
SID9222449,18,M,1
SID4640853,19,M,1
SID4750687,20,M,1
SID6340016,21,M,1
SID3636770,22,M,1
SID8557774,3,N,1
SID5985779,4,N,1
SID8951797,5,N,1
SID9241203,6,N,1
SID6214903,7,N,1
SID5195220,8,N,1
SID2832843,9,N,1
SID6034095,10,N,1
SID0766427,11,N,1
SID0722072,12,N,1
SID3221592,13,N,1
SID0504885,14,N,1
SID9174045,15,N,1
SID0582849,16,N,1
SID8960360,17,N,1
SID1391992,18,N,1
SID6680123,19,N,1
SID7724118,20,N,1
SID4289746,21,N,1
SID7711644,22,N,1
SID9151592,3,O,1
SID3072573,4,O,1
SID0818470,5,O,1
SID8608837,6,O,1
SID3219503,7,O,1
SID5790671,8,O,1
SID9829785,9,O,1
SID8388135,10,O,1
SID3108621,11,O,1
SID0329269,12,O,1
SID1516354,13,O,1
SID0864282,14,O,1
SID5016402,15,O,1
SID0196603,16,O,1
SID1843772,17,O,1
SID4497132,18,O,1
SID3813622,19,O,1
SID5464606,20,O,1
SID8003148,21,O,1
SID0164135,22,O,1
SID1562332,3,P,1
SID9040332,4,P,1
SID4841593,5,P,1
SID1180023,6,P,1
SID9864409,7,P,1
SID8361838,8,P,1
SID2709020,9,P,1
SID4217712,10,P,1
SID5628428,11,P,1
SID1391359,12,P,1
SID7024680,13,P,1
SID6329623,14,P,1
SID1407776,15,P,1
SID8129481,16,P,1
SID0516491,17,P,1
SID2789012,18,P,1
SID8723927,19,P,1
SID0414562,20,P,1
SID2749216,21,P,1
SID6109316,22,P,1
SID8691331,3,A,2
SID0714344,4,A,2
SID8517450,5,A,2
SID0614689,6,A,2
SID0087675,7,A,2
SID4957061,8,A,2
SID7189049,9,A,2
SID9175947,10,A,2
SID2270983,11,A,2
SID8499389,12,A,2
SID7676360,13,A,2
SID3797117,14,A,2
SID4602500,15,A,2
SID5446835,16,A,2
SID3702194,17,A,2
SID3850792,18,A,2
SID1590690,19,A,2
SID7724308,20,A,2
SID2057978,21,A,2
SID5194758,22,A,2
SID0838191,3,B,2
SID3297773,4,B,2
SID7523657,5,B,2
SID4896690,6,B,2
SID5765762,7,B,2
SID1384253,8,B,2
SID5738763,9,B,2
SID1831303,10,B,2
SID9892876,11,B,2
SID1167209,12,B,2
SID3830081,13,B,2
SID0763273,14,B,2
SID3619115,15,B,2
SID8086136,16,B,2
SID1471045,17,B,2
SID0518934,18,B,2
SID9184861,19,B,2
SID8860939,20,B,2
SID9883955,21,B,2
SID8534275,22,B,2
SID5747596,3,C,2
SID3612857,4,C,2
SID7672118,5,C,2
SID8714803,6,C,2
SID2466138,7,C,2
SID9001372,8,C,2
SID4986040,9,C,2
SID7362045,10,C,2
SID7430643,11,C,2
SID2713343,12,C,2
SID8391031,13,C,2
SID4781692,14,C,2
SID7075338,15,C,2
SID4810516,16,C,2
SID9890267,17,C,2
SID1527290,18,C,2
SID4930425,19,C,2
SID0343469,20,C,2
SID5877210,21,C,2
SID4205120,22,C,2
SID8959557,3,D,2
SID2542909,4,D,2
SID2295865,5,D,2
SID1204099,6,D,2
SID6063671,7,D,2
SID0996482,8,D,2
SID9638797,9,D,2
SID0891309,10,D,2
SID8421439,11,D,2
SID7057890,12,D,2
SID5383063,13,D,2
SID9871665,14,D,2
SID8205075,15,D,2
SID9723808,16,D,2
SID7739167,17,D,2
SID1804102,18,D,2
SID0261208,19,D,2
SID2888342,20,D,2
SID0571255,21,D,2
SID2102124,22,D,2
SID3548490,3,E,2
SID5454675,4,E,2
SID4729006,5,E,2
SID0842756,6,E,2
SID9379202,7,E,2
SID1676787,8,E,2
SID7179920,9,E,2
SID3102087,10,E,2
SID7853265,11,E,2
SID8515757,12,E,2
SID3592943,13,E,2
SID3933770,14,E,2
SID2898319,15,E,2
SID5898718,16,E,2
SID8502888,17,E,2
SID2964822,18,E,2
SID5510886,19,E,2
SID5443673,20,E,2
SID6810057,21,E,2
SID0718292,22,E,2
SID8057100,3,F,2
SID4122387,4,F,2
SID6577948,5,F,2
SID5243399,6,F,2
SID2449528,7,F,2
SID4840714,8,F,2
SID9023501,9,F,2
SID6846464,10,F,2
SID4401702,11,F,2
SID1446014,12,F,2
SID9416999,13,F,2
SID9657475,14,F,2
SID7753736,15,F,2
SID7918415,16,F,2
SID0600480,17,F,2
SID9196396,18,F,2
SID4156376,19,F,2
SID4042908,20,F,2
SID8913707,21,F,2
SID1697396,22,F,2
SID2239152,3,G,2
SID8394452,4,G,2
SID4257494,5,G,2
SID5095273,6,G,2
SID2038064,7,G,2
SID9241947,8,G,2
SID5503606,9,G,2
SID3197702,10,G,2
SID5734105,11,G,2
SID7608733,12,G,2
SID2388823,13,G,2
SID2603739,14,G,2
SID1893998,15,G,2
SID2592334,16,G,2
SID6446582,17,G,2
SID3635609,18,G,2
SID6760911,19,G,2
SID6216844,20,G,2
SID6852142,21,G,2
SID7494018,22,G,2
SID0932162,3,H,2
SID1236973,4,H,2
SID3552035,5,H,2
SID9348858,6,H,2
SID9228362,7,H,2
SID8853316,8,H,2
SID1877916,9,H,2
SID8156320,10,H,2
SID3159829,11,H,2
SID3110688,12,H,2
SID7334563,13,H,2
SID9423736,14,H,2
SID9397806,15,H,2
SID6029620,16,H,2
SID0581882,17,H,2
SID2754734,18,H,2
SID8705815,19,H,2
SID9717309,20,H,2
SID2708934,21,H,2
SID8705837,22,H,2
SID7342792,3,I,2
SID8954714,4,I,2
SID0918006,5,I,2
SID5662766,6,I,2
SID5884294,7,I,2
SID6411504,8,I,2
SID5343299,9,I,2
SID9409190,10,I,2
SID7674404,11,I,2
SID0982423,12,I,2
SID4030020,13,I,2
SID7591958,14,I,2
SID3033430,15,I,2
SID7705813,16,I,2
SID0237160,17,I,2
SID6891017,18,I,2
SID0797092,19,I,2
SID3340865,20,I,2
SID9045226,21,I,2
SID4521910,22,I,2
SID3892635,3,J,2
SID5165854,4,J,2
SID8193653,5,J,2
SID0638663,6,J,2
SID7078469,7,J,2
SID4153196,8,J,2
SID1584169,9,J,2
SID2504908,10,J,2
SID1624441,11,J,2
SID0054921,12,J,2
SID3187744,13,J,2
SID6220615,14,J,2
SID0096838,15,J,2
SID6687599,16,J,2
SID9991133,17,J,2
SID8779323,18,J,2
SID0365283,19,J,2
SID6463526,20,J,2
SID0994407,21,J,2
SID4373688,22,J,2
SID8426129,3,K,2
SID9958858,4,K,2
SID8465290,5,K,2
SID4911917,6,K,2
SID6304107,7,K,2
SID2071266,8,K,2
SID4298374,9,K,2
SID1108762,10,K,2
SID1977601,11,K,2
SID6153028,12,K,2
SID8258740,13,K,2
SID7610802,14,K,2
SID1621695,15,K,2
SID9093957,16,K,2
SID8358329,17,K,2
SID7950942,18,K,2
SID1249832,19,K,2
SID1413000,20,K,2
SID2487874,21,K,2
SID1393195,22,K,2
SID8553392,3,L,2
SID6290791,4,L,2
SID1286892,5,L,2
SID2599370,6,L,2
SID8072567,7,L,2
SID9775150,8,L,2
SID8350915,9,L,2
SID9675377,10,L,2
SID0510668,11,L,2
SID0552584,12,L,2
SID7209493,13,L,2
SID7928870,14,L,2
SID2983413,15,L,2
SID5510772,16,L,2
SID9460554,17,L,2
SID5816353,18,L,2
SID7575500,19,L,2
SID7137605,20,L,2
SID3276002,21,L,2
SID5918607,22,L,2
SID1420970,3,M,2
SID5366330,4,M,2
SID0095267,5,M,2
SID5681981,6,M,2
SID6197536,7,M,2
SID7329065,8,M,2
SID5875869,9,M,2
SID4411913,10,M,2
SID3867446,11,M,2
SID4142746,12,M,2
SID3013769,13,M,2
SID9314164,14,M,2
SID7822732,15,M,2
SID5558111,16,M,2
SID2370365,17,M,2
SID6765945,18,M,2
SID8716377,19,M,2
SID3156755,20,M,2
SID5678569,21,M,2
SID5157240,22,M,2
SID2620042,3,N,2
SID9734049,4,N,2
SID3821613,5,N,2
SID0306627,6,N,2
SID4273432,7,N,2
SID0510048,8,N,2
SID2605096,9,N,2
SID4669552,10,N,2
SID3275931,11,N,2
SID5233239,12,N,2
SID7692420,13,N,2
SID8466546,14,N,2
SID5985894,15,N,2
SID6820270,16,N,2
SID1695534,17,N,2
SID0930082,18,N,2
SID1152349,19,N,2
SID0231188,20,N,2
SID3394192,21,N,2
SID5179173,22,N,2
SID5118770,3,O,2
SID2938693,4,O,2
SID9325399,5,O,2
SID0172829,6,O,2
SID9127665,7,O,2
SID4724562,8,O,2
SID3759933,9,O,2
SID5097568,10,O,2
SID8494509,11,O,2
SID3024903,12,O,2
SID4331626,13,O,2
SID9548666,14,O,2
SID0677981,15,O,2
SID1128195,16,O,2
SID3893427,17,O,2
SID3723087,18,O,2
SID5466232,19,O,2
SID6419325,20,O,2
SID8629845,21,O,2
SID1874957,22,O,2
SID1177849,3,P,2
SID0298867,4,P,2
SID5801033,5,P,2
SID7706273,6,P,2
SID7677944,7,P,2
SID3079656,8,P,2
SID7719401,9,P,2
SID9954093,10,P,2
SID7554023,11,P,2
SID6419675,12,P,2
SID6248638,13,P,2
SID9568919,14,P,2
SID7659272,15,P,2
SID6952007,16,P,2
SID7800965,17,P,2
SID6513882,18,P,2
SID4624545,19,P,2
SID6698180,20,P,2
SID3961704,21,P,2
SID6920642,22,P,2
SID8783952,3,A,3
SID3439069,4,A,3
SID3458988,5,A,3
SID2716073,6,A,3
SID3511989,7,A,3
SID8381826,8,A,3
SID1478845,9,A,3
SID2291308,10,A,3
SID1596968,11,A,3
SID1667900,12,A,3
SID3732615,13,A,3
SID9100087,14,A,3
SID6854775,15,A,3
SID5435023,16,A,3
SID2451175,17,A,3
SID9605796,18,A,3
SID2992191,19,A,3
SID4684555,20,A,3
SID3389372,21,A,3
SID5998472,22,A,3
SID2728341,3,B,3
SID9748533,4,B,3
SID9647870,5,B,3
SID0545305,6,B,3
SID7296124,7,B,3
SID9849378,8,B,3
SID4004513,9,B,3
SID3697195,10,B,3
SID9765304,11,B,3
SID7491294,12,B,3
SID5976329,13,B,3
SID7443011,14,B,3
SID3560908,15,B,3
SID1436161,16,B,3
SID2015460,17,B,3
SID5023435,18,B,3
SID5314699,19,B,3
SID1631071,20,B,3
SID7753741,21,B,3
SID4938013,22,B,3
SID5730676,3,C,3
SID5119070,4,C,3
SID8289423,5,C,3
SID7160913,6,C,3
SID3526377,7,C,3
SID0000043,8,C,3
SID8570617,9,C,3
SID9328530,10,C,3
SID4922635,11,C,3
SID5855878,12,C,3
SID9351349,13,C,3
SID8181412,14,C,3
SID3853566,15,C,3
SID6433228,16,C,3
SID1178702,17,C,3
SID0884400,18,C,3
SID3629387,19,C,3
SID0182172,20,C,3
SID1550574,21,C,3
SID6841758,22,C,3
SID2554655,3,D,3
SID0538577,4,D,3
SID0742965,5,D,3
SID5507379,6,D,3
SID6455701,7,D,3
SID8672321,8,D,3
SID3084106,9,D,3
SID7796999,10,D,3
SID7014427,11,D,3
SID1311873,12,D,3
SID3763228,13,D,3
SID6384390,14,D,3
SID1950730,15,D,3
SID6613830,16,D,3
SID3214924,17,D,3
SID7661418,18,D,3
SID9627047,19,D,3
SID0976444,20,D,3
SID6918258,21,D,3
SID2470811,22,D,3
SID3046034,3,E,3
SID6946516,4,E,3
SID7436439,5,E,3
SID4637892,6,E,3
SID0239597,7,E,3
SID1985425,8,E,3
SID0992180,9,E,3
SID8179005,10,E,3
SID3145176,11,E,3
SID2501008,12,E,3
SID9639740,13,E,3
SID4417951,14,E,3
SID7739720,15,E,3
SID1541801,16,E,3
SID5111027,17,E,3
SID9955291,18,E,3
SID6377140,19,E,3
SID4110956,20,E,3
SID1867513,21,E,3
SID3233209,22,E,3
SID0404786,3,F,3
SID3030129,4,F,3
SID8224619,5,F,3
SID0930330,6,F,3
SID4839168,7,F,3
SID3536023,8,F,3
SID3144401,9,F,3
SID6004446,10,F,3
SID7374402,11,F,3
SID4486324,12,F,3
SID0396983,13,F,3
SID7390569,14,F,3
SID1113057,15,F,3
SID7207759,16,F,3
SID5083458,17,F,3
SID4231804,18,F,3
SID3862049,19,F,3
SID9283721,20,F,3
SID6938127,21,F,3
SID1827282,22,F,3
SID1048567,3,G,3
SID2325116,4,G,3
SID8495663,5,G,3
SID4909035,6,G,3
SID1321768,7,G,3
SID2355462,8,G,3
SID2201296,9,G,3
SID8922166,10,G,3
SID7424596,11,G,3
SID4803723,12,G,3
SID2091265,13,G,3
SID7379112,14,G,3
SID5799530,15,G,3
SID3792006,16,G,3
SID2252007,17,G,3
SID1754316,18,G,3
SID0792276,19,G,3
SID5583923,20,G,3
SID8325490,21,G,3
SID4868253,22,G,3
SID5924854,3,H,3
SID6692685,4,H,3
SID4376259,5,H,3
SID6717373,6,H,3
SID4278794,7,H,3
SID3926776,8,H,3
SID2614289,9,H,3
SID7348733,10,H,3
SID8795783,11,H,3
SID2455262,12,H,3
SID1320199,13,H,3
SID3739112,14,H,3
SID2607391,15,H,3
SID5670644,16,H,3
SID1555203,17,H,3
SID3349838,18,H,3
SID0138985,19,H,3
SID4011028,20,H,3
SID6985524,21,H,3
SID2637570,22,H,3
SID2894085,3,I,3
SID0399490,4,I,3
SID8262500,5,I,3
SID0209329,6,I,3
SID2167926,7,I,3
SID7106732,8,I,3
SID2250951,9,I,3
SID8755577,10,I,3
SID2084517,11,I,3
SID3851174,12,I,3
SID5429954,13,I,3
SID6920352,14,I,3
SID2127920,15,I,3
SID8351726,16,I,3
SID7421806,17,I,3
SID6993852,18,I,3
SID6060718,19,I,3
SID9192357,20,I,3
SID2043707,21,I,3
SID6965273,22,I,3
SID0400154,3,J,3
SID7492966,4,J,3
SID4163971,5,J,3
SID8703022,6,J,3
SID5338966,7,J,3
SID8751974,8,J,3
SID1755519,9,J,3
SID2918959,10,J,3
SID7008357,11,J,3
SID7889797,12,J,3
SID3881137,13,J,3
SID5654588,14,J,3
SID8728093,15,J,3
SID3180402,16,J,3
SID9496292,17,J,3
SID4777585,18,J,3
SID9675020,19,J,3
SID6879308,20,J,3
SID9501374,21,J,3
SID8612286,22,J,3
SID7284271,3,K,3
SID6001557,4,K,3
SID3951123,5,K,3
SID9295133,6,K,3
SID9618777,7,K,3
SID0754640,8,K,3
SID7076931,9,K,3
SID9598945,10,K,3
SID7926081,11,K,3
SID3276837,12,K,3
SID1972523,13,K,3
SID6856673,14,K,3
SID0025817,15,K,3
SID0624247,16,K,3
SID4031887,17,K,3
SID1568460,18,K,3
SID4569175,19,K,3
SID2470225,20,K,3
SID8010377,21,K,3
SID8189986,22,K,3
SID9491521,3,L,3
SID5967871,4,L,3
SID6167845,5,L,3
SID1377932,6,L,3
SID8734822,7,L,3
SID9827698,8,L,3
SID8351347,9,L,3
SID6237331,10,L,3
SID0025426,11,L,3
SID2577435,12,L,3
SID5015651,13,L,3
SID8832672,14,L,3
SID1881229,15,L,3
SID5627136,16,L,3
SID9627890,17,L,3
SID5658865,18,L,3
SID7795557,19,L,3
SID0642406,20,L,3
SID9465220,21,L,3
SID9300089,22,L,3
SID2061683,3,M,3
SID6710649,4,M,3
SID4297917,5,M,3
SID4292242,6,M,3
SID3893298,7,M,3
SID6686536,8,M,3
SID4629483,9,M,3
SID6355862,10,M,3
SID1122502,11,M,3
SID7878275,12,M,3
SID4675696,13,M,3
SID8213106,14,M,3
SID4709586,15,M,3
SID4980832,16,M,3
SID8343695,17,M,3
SID4811066,18,M,3
SID2814923,19,M,3
SID8501435,20,M,3
SID0290790,21,M,3
SID3605544,22,M,3
SID8019422,3,N,3
SID7570704,4,N,3
SID5283740,5,N,3
SID2207680,6,N,3
SID8650433,7,N,3
SID6105407,8,N,3
SID0742037,9,N,3
SID5412875,10,N,3
SID5334224,11,N,3
SID0507702,12,N,3
SID4565781,13,N,3
SID3594857,14,N,3
SID1935756,15,N,3
SID4760523,16,N,3
SID2666045,17,N,3
SID3761772,18,N,3
SID4527819,19,N,3
SID7921951,20,N,3
SID9250904,21,N,3
SID3522605,22,N,3
SID1892378,3,O,3
SID1292775,4,O,3
SID4956729,5,O,3
SID3682861,6,O,3
SID7021970,7,O,3
SID4059907,8,O,3
SID8199448,9,O,3
SID1769754,10,O,3
SID6717772,11,O,3
SID1679958,12,O,3
SID6858891,13,O,3
SID8717015,14,O,3
SID1487517,15,O,3
SID6887109,16,O,3
SID1304540,17,O,3
SID3953588,18,O,3
SID6780723,19,O,3
SID3535245,20,O,3
SID4753997,21,O,3
SID9015075,22,O,3
SID7529523,3,P,3
SID2784823,4,P,3
SID5793696,5,P,3
SID7211356,6,P,3
SID2751188,7,P,3
SID5090450,8,P,3
SID1021700,9,P,3
SID5841563,10,P,3
SID4117645,11,P,3
SID1810287,12,P,3
SID4078431,13,P,3
SID7909192,14,P,3
SID6945971,15,P,3
SID4483495,16,P,3
SID0886394,17,P,3
SID2865249,18,P,3
SID1985993,19,P,3
SID6731549,20,P,3
SID9150839,21,P,3
SID0486035,22,P,3
SID0936560,3,A,4
SID3185176,4,A,4
SID8263075,5,A,4
SID6754822,6,A,4
SID8393470,7,A,4
SID3431395,8,A,4
SID6932754,9,A,4
SID6375734,10,A,4
SID4975618,11,A,4
SID5185598,12,A,4
SID8784442,13,A,4
SID4576763,14,A,4
SID0644296,15,A,4
SID7836176,16,A,4
SID5348717,17,A,4
SID7079020,18,A,4
SID6900630,19,A,4
SID7329855,20,A,4
SID3705427,21,A,4
SID8199305,22,A,4
SID9914887,3,B,4
SID3341226,4,B,4
SID2256321,5,B,4
SID7881329,6,B,4
SID1639592,7,B,4
SID8709026,8,B,4
SID0733827,9,B,4
SID3956476,10,B,4
SID7671102,11,B,4
SID1975223,12,B,4
SID2257857,13,B,4
SID3001296,14,B,4
SID7402694,15,B,4
SID9385930,16,B,4
SID9256292,17,B,4
SID8190117,18,B,4
SID7944586,19,B,4
SID7232076,20,B,4
SID6034967,21,B,4
SID7343145,22,B,4
SID9039510,3,C,4
SID7717215,4,C,4
SID1866704,5,C,4
SID3887724,6,C,4
SID7001361,7,C,4
SID1687939,8,C,4
SID5525212,9,C,4
SID9306059,10,C,4
SID4448098,11,C,4
SID2092621,12,C,4
SID9685232,13,C,4
SID8893984,14,C,4
SID5537075,15,C,4
SID4927666,16,C,4
SID5856473,17,C,4
SID2777692,18,C,4
SID9148820,19,C,4
SID6390060,20,C,4
SID4654634,21,C,4
SID8814725,22,C,4
SID0641304,3,D,4
SID1591650,4,D,4
SID3839404,5,D,4
SID8443378,6,D,4
SID1271885,7,D,4
SID6409549,8,D,4
SID7454289,9,D,4
SID8982092,10,D,4
SID9740058,11,D,4
SID3277223,12,D,4
SID6016827,13,D,4
SID9346444,14,D,4
SID2180722,15,D,4
SID5643107,16,D,4
SID3936248,17,D,4
SID3755209,18,D,4
SID0884251,19,D,4
SID2718276,20,D,4
SID3358859,21,D,4
SID8167235,22,D,4
SID6655618,3,E,4
SID3889836,4,E,4
SID2756120,5,E,4
SID1245546,6,E,4
SID5397490,7,E,4
SID3337802,8,E,4
SID5561323,9,E,4
SID2046320,10,E,4
SID5817133,11,E,4
SID0374833,12,E,4
SID5959456,13,E,4
SID4744145,14,E,4
SID4332971,15,E,4
SID3925953,16,E,4
SID9522389,17,E,4
SID7239855,18,E,4
SID4092529,19,E,4
SID1472260,20,E,4
SID2655029,21,E,4
SID8950198,22,E,4
SID6781578,3,F,4
SID2348785,4,F,4
SID0314057,5,F,4
SID0167895,6,F,4
SID7925908,7,F,4
SID5711899,8,F,4
SID9187226,9,F,4
SID4985704,10,F,4
SID0149179,11,F,4
SID4390350,12,F,4
SID4806631,13,F,4
SID4671572,14,F,4
SID2031501,15,F,4
SID9490120,16,F,4
SID6607609,17,F,4
SID5298404,18,F,4
SID7125628,19,F,4
SID0667546,20,F,4
SID6728868,21,F,4
SID1661595,22,F,4
SID4718444,3,G,4
SID4965533,4,G,4
SID6292322,5,G,4
SID9705368,6,G,4
SID9447956,7,G,4
SID9092470,8,G,4
SID7825405,9,G,4
SID4121093,10,G,4
SID7498527,11,G,4
SID1922320,12,G,4
SID2970956,13,G,4
SID9202700,14,G,4
SID6234622,15,G,4
SID0593198,16,G,4
SID8274717,17,G,4
SID7208782,18,G,4
SID3915567,19,G,4
SID6770924,20,G,4
SID5229098,21,G,4
SID3546908,22,G,4
SID6660212,3,H,4
SID7102410,4,H,4
SID1323029,5,H,4
SID7305196,6,H,4
SID6029706,7,H,4
SID6210839,8,H,4
SID9280734,9,H,4
SID4644827,10,H,4
SID6721076,11,H,4
SID9537809,12,H,4
SID5505303,13,H,4
SID6473195,14,H,4
SID5141643,15,H,4
SID3186324,16,H,4
SID1847939,17,H,4
SID9111354,18,H,4
SID0814959,19,H,4
SID4162009,20,H,4
SID6131193,21,H,4
SID1241584,22,H,4
SID7566504,3,I,4
SID8428739,4,I,4
SID2458403,5,I,4
SID4985846,6,I,4
SID3856263,7,I,4
SID9186955,8,I,4
SID4260374,9,I,4
SID4886673,10,I,4
SID2162329,11,I,4
SID5230592,12,I,4
SID6281987,13,I,4
SID4998367,14,I,4
SID1155917,15,I,4
SID6859227,16,I,4
SID9772616,17,I,4
SID2972095,18,I,4
SID5575291,19,I,4
SID5080236,20,I,4
SID5418157,21,I,4
SID1410528,22,I,4
SID3752690,3,J,4
SID1861594,4,J,4
SID2886874,5,J,4
SID9469547,6,J,4
SID2540132,7,J,4
SID8376436,8,J,4
SID8469612,9,J,4
SID1495958,10,J,4
SID8904658,11,J,4
SID2838199,12,J,4
SID0388173,13,J,4
SID8486406,14,J,4
SID6111999,15,J,4
SID2535643,16,J,4
SID2507773,17,J,4
SID7679868,18,J,4
SID9710544,19,J,4
SID7301777,20,J,4
SID2430221,21,J,4
SID8655985,22,J,4
SID1927179,3,K,4
SID6486570,4,K,4
SID3715394,5,K,4
SID8476676,6,K,4
